TRUE,craiya,muchaecia,blob skos,Terry Hard Science Think Tank,Religious Corporate Religious ,Neutral Hard Science ,blob skos,iofliuland,East swaeq sneau,129.0 42.0 16.802344142210394 -284.0 7.0 28.460560602478424,221 S greom clax Road
TRUE,edriawana,claog fleau,koflurg,Jameson Social Science Watch,Religious ,Nationalist Social Science ,koflurg,stroum chus,bleuv smana,41.0 51.0 8.14102338029504 -238.0 22.0 51.53691952613745,241 E priestein Lane
TRUE,edriawana,claog fleau,odriasia,Darol Radical Left Research Institute,Independent ,Radical Left Foreign Policy ,odriasia,zaspoassau,edriawana,74.0 2.0 40.11240464588702 -254.0 32.0 36.8404080325219,149 N greom clax Road
TRUE,edriawana,gescialand,fleis flye,Rose Radical Left Institute,Corporate Corporate Government ,Radical Left Foreign Policy ,fleis flye,stroum chus,eshington,327.0 28.0 7.686212421186493 -194.0 48.0 57.83367388941322,135jotra Street
TRUE,edriawana,xusheurhiel,odriasia,Darol Social Science Research Institute,Corporate Corporate ,Radical Right Social Science ,odriasia,ewhurg,Westerwynne,352.0 0.0 0.5112623361278179 -243.0 50.0 57.97704174692755,333 E bleuv smana
TRUE,craiya,iupreosal,atron,Elizabeth Radical Right Watch,Religious ,Radical Right Social Science ,atron,priestein,stroum chus,103.0 35.0 51.06651078386539 -118.0 13.0 26.628372595752367,99 S swaeq sneau
TRUE,craiya,priestein,West stroum chus,Robert Foreign Policy Watch,Religious Religious Corporate ,Nationalist Foreign Policy ,West stroum chus,stoydan,East gescialand,235.0 26.0 42.30265259980927 -356.0 35.0 45.413873360589506,192 N South xusheurhiel Lane
TRUE,craiya,priestein,West stroum chus,Ebzen Conservative Think Tank,Corporate Government Government ,Conservative Foreign Policy ,West stroum chus,vedrijan,othurg,142.0 12.0 55.05924760974984 -25.0 37.0 35.06534788480342,145 N greom clax
TRUE,craiya,spoy strela,fleis flye,Dorris Hard Science Council,Religious Corporate ,Neutral Hard Science ,fleis flye,qotria,greom clax,269.0 53.0 41.119356204161654 -201.0 47.0 27.713567762404196,213 N steitho Road
TRUE,craiya,priestein,West stroum chus,James Nationalist Institute,Independent ,Nationalist Social Science ,West stroum chus,athon,fleisau,54.0 58.0 46.42893994660297 -312.0 15.0 7.774896383405746,171 S Griffinton
TRUE,craiya,muchaecia,blob skos,Woolley Radical Left Institute,Independent ,Radical Left Social Science ,blob skos,rochein,snoera,75.0 39.0 24.404304066772028 -233.0 44.0 15.57436675242582,11 E xapra Street
TRUE,edriawana,stoydan,guswouca,Darol Nationalist Council,Corporate ,Nationalist Foreign Policy ,guswouca,swoe stror,treiria,280.0 38.0 49.273880632087966 -341.0 4.0 35.33633755000916,177 N Griffinton Street
TRUE,edriawana,gescialand,fleis flye,Mera Foreign Policy Research Institute,Independent ,Radical Right Foreign Policy ,fleis flye,odriasia,uthiulor,182.0 37.0 51.43337043563576 -171.0 34.0 15.188872939878555,185apreyles Road
TRUE,craiya,iupreosal,astrurg,Lee Social Science Think Tank,Religious Government Government ,Radical Left Social Science ,astrurg,swoe stror,treiria,315.0 30.0 11.69965667192519 -67.0 17.0 15.131458066437563,39 E zaspoassau Road
TRUE,edriawana,priestein,jotra,Ebzen Radical Left Watch,Religious Government Corporate ,Radical Left Hard Science ,jotra,ostryae,edriawana,230.0 38.0 4.343453267046062 -304.0 33.0 0.47473723460347617,282 N rochein Road
TRUE,edriawana,gescialand,uthiulor,Anna Foreign Policy Institute,Government Corporate Corporate ,Radical Left Foreign Policy ,uthiulor,gescialand,claog fleau,8.0 37.0 26.585693801521938 -124.0 30.0 34.211172556719355,69 S spoy strela Road
TRUE,edriawana,atron,claog fleau,Darol Conservative Think Tank,Independent ,Conservative Social Science ,claog fleau,swoe stror,treiria,269.0 20.0 42.647483014040496 -11.0 20.0 19.247874749823147,208staoz flurg
TRUE,edriawana,claog fleau,koflurg,Elizabeth Hard Science Research Institute,Religious Corporate Government ,Radical Left Hard Science ,koflurg,blob skos,oskait,306.0 27.0 21.497108154038457 -221.0 56.0 12.157497329896046,162 N eshington Street
TRUE,craiya,iupreosal,staoz flurg,Woolley Nationalist Council,Government Corporate Government ,Nationalist Hard Science ,staoz flurg,glaynia,iofliuland,151.0 46.0 47.23737143723965 -346.0 30.0 27.488453729505206,190 E priestein
TRUE,craiya,spoy strela,fleis flye,Hannah Hard Science Watch,Independent ,Radical Left Hard Science ,fleis flye,steitho,greom clax,310.0 8.0 13.81579917800029 -346.0 58.0 25.851741125554597,334 N muchaecia
TRUE,craiya,priestein,West stroum chus,Ebzen Social Science Council,Government Religious Religious ,Radical Right Social Science ,West stroum chus,edriawana,fleisau,13.0 19.0 6.483416161611437 -284.0 46.0 57.846467748597426,207 N craiya Street
TRUE,craiya,East xusheurhiel,snoera,Woolley Foreign Policy Watch,Religious Religious Government ,Radical Right Foreign Policy ,snoera,qotria,vedrijan,30.0 10.0 37.056974129368115 -317.0 3.0 24.232187433516774,50eshistan Lane
TRUE,edriawana,stoydan,pruil shium,Anna Hard Science Research Institute,Government Corporate Religious ,Radical Right Hard Science ,pruil shium,sceuw chax,fleisau,323.0 55.0 44.40244195353568 -178.0 18.0 56.75292774830423,255 S osmurg Street
TRUE,edriawana,xusheurhiel,muchaecia,Robert Social Science Think Tank,Independent ,Neutral Social Science ,muchaecia,fleisau,glaynia,321.0 37.0 10.419755633180118 -199.0 10.0 44.054859252807645,220swaeq sneau
TRUE,edriawana,claog fleau,koflurg,Terry Foreign Policy Council,Government Government Religious ,Conservative Foreign Policy ,koflurg,blob skos,oskait,35.0 10.0 20.878654146673 -83.0 44.0 45.013148387493935,109osnyae Road
TRUE,edriawana,atron,stiuca,Elizabeth Nationalist Institute,Corporate Government Government ,Nationalist Foreign Policy ,stiuca,osmurg,Griffinton,251.0 33.0 44.084416814741175 -118.0 26.0 6.123865094906936,212zaspoassau Lane
TRUE,craiya,spoy strela,gescialand,Rock Radical Left Council,Religious Government Government ,Radical Left Social Science ,gescialand,othurg,ewhurg,73.0 55.0 32.490796347214705 -269.0 58.0 54.376329738505554,225 N spoy strela Road
TRUE,craiya,iupreosal,atron,Dorris Neutral Research Institute,Government ,Neutral Hard Science ,atron,iofliuland,stroum chus,245.0 5.0 6.73320735919183 -295.0 34.0 51.42426360520191,208uthiulor Street
TRUE,craiya,East xusheurhiel,snoera,Betsy Neutral Research Institute,Independent ,Neutral Hard Science ,snoera,steitho,vedrijan,256.0 43.0 17.13457034022011 -179.0 8.0 43.374872993838046,191 S vedrijan
TRUE,edriawana,zaspoassau,atren,Lee Conservative Institute,Corporate Corporate ,Conservative Foreign Policy ,atren,othurg,North osnyae,298.0 39.0 51.052072229324224 -78.0 11.0 35.298613414536526,253steitho Lane
TRUE,edriawana,stoydan,Griffinton,Rose Foreign Policy Research Institute,Independent ,Radical Right Foreign Policy ,Griffinton,pruil shium,gopruyvania,250.0 58.0 2.914527898423471 -239.0 9.0 46.61388157921885,238zaspoassau Lane
TRUE,edriawana,atron,claog fleau,Terry Conservative Council,Independent ,Conservative Foreign Policy ,claog fleau,fleis flye,Highkeep,209.0 53.0 7.971259479730594 -117.0 0.0 6.405664179775625,0 E eshington Road
TRUE,edriawana,atron,stiuca,Jameson Neutral Institute,Religious ,Neutral Social Science ,stiuca,iupreosal,fleis flye,338.0 5.0 19.64121904841474 -253.0 52.0 17.062077704644675,99 S guswouca
TRUE,edriawana,gescialand,uthiulor,Borris Conservative Watch,Government Religious ,Conservative Social Science ,uthiulor,bleuv smana,athon,188.0 50.0 2.162941203002961 -306.0 23.0 57.212079214177216,3 S jotra Street
TRUE,craiya,East xusheurhiel,vedrijan,Jameson Hard Science Institute,Corporate Government ,Nationalist Hard Science ,vedrijan,South Westerwynne,South rochein,89.0 53.0 31.104537315213403 -162.0 53.0 19.32889277105813,137 E snoera Road
TRUE,craiya,East xusheurhiel,vedrijan,Borris Nationalist Institute,Religious Corporate Corporate ,Nationalist Foreign Policy ,vedrijan,Griffinton,West jotra,173.0 50.0 55.47382691908166 -240.0 8.0 19.833836026740734,292 E friysil
TRUE,craiya,East xusheurhiel,snoera,Sophie Hard Science Institute,Corporate ,Radical Left Hard Science ,snoera,East ogrya,vedrijan,256.0 6.0 53.7921709153173 -71.0 59.0 6.170727861387327,278osnyae Road
TRUE,edriawana,xusheurhiel,snoera,Anna Neutral Watch,Religious Government ,Neutral Social Science ,snoera,qotria,boclain,95.0 17.0 6.862735476637666 -268.0 12.0 25.911079018350236,93 N glaynia Road
TRUE,craiya,iupreosal,ogrya,Rose Foreign Policy Council,Religious Religious Religious ,Radical Right Foreign Policy ,ogrya,fleisau,North osnyae,52.0 13.0 9.627907991310236 -306.0 57.0 3.6308132243234335,294athon Road
TRUE,edriawana,friysil,craorhiel,Jason Foreign Policy Watch,Independent ,Radical Left Foreign Policy ,craorhiel,fleisau,zaspoassau,36.0 57.0 16.09862817947986 -167.0 21.0 2.70188987952256,95 E atron Street
TRUE,edriawana,claog fleau,iofliuland,Lee Social Science Watch,Corporate Corporate ,Conservative Social Science ,iofliuland,claog fleau,fleis flye,49.0 18.0 2.8295806904459893 -323.0 57.0 21.891130991664255,268 N iofliuland Road
TRUE,edriawana,claog fleau,swaeq sneau,Carol Radical Right Think Tank,Government ,Radical Right Foreign Policy ,swaeq sneau,iethana,iupreosal,196.0 47.0 40.59307546681793 -312.0 57.0 22.527231247968896,277 S pacren Road
TRUE,craiya,priestein,West stroum chus,Terry Neutral Council,Independent ,Neutral Hard Science ,West stroum chus,edriawana,fleisau,13.0 19.0 6.483416161611437 -284.0 46.0 57.846467748597426,207 N craiya Street
TRUE,craiya,East xusheurhiel,vedrijan,Gale Social Science Institute,Corporate Corporate ,Conservative Social Science ,vedrijan,craiya,Westerwynne,80.0 23.0 39.76049072164378 -255.0 49.0 0.36086381705727266,229boclain Street
TRUE,craiya,East xusheurhiel,zaspoassau,Hannah Conservative Watch,Government ,Conservative Hard Science ,zaspoassau,greom clax,atron,86.0 7.0 30.65733966064938 -327.0 41.0 41.0012712532429,236 E Griffinton Lane
TRUE,craiya,East xusheurhiel,snoera,Gale Foreign Policy Watch,Independent ,Neutral Foreign Policy ,snoera,muchaecia,osken,225.0 51.0 0.10113255678737398 -273.0 0.0 47.08818288694353,238 S claog fleau Road
TRUE,edriawana,gescialand,fleis flye,Jason Radical Right Think Tank,Corporate Corporate ,Radical Right Foreign Policy ,fleis flye,odriasia,eshistan,218.0 53.0 49.616074795368505 -278.0 36.0 49.26096585537792,312claog fleau
TRUE,craiya,muchaecia,blob skos,Betsy Radical Left Council,Religious Government Government ,Radical Left Foreign Policy ,blob skos,zaspoassau,eshington,250.0 11.0 53.68018681777473 -187.0 54.0 46.350752479019036,95 E ogrya Lane
TRUE,edriawana,zaspoassau,atren,Terry Social Science Research Institute,Independent ,Nationalist Social Science ,atren,staoz flurg,edriawana,127.0 59.0 49.26589379422255 -131.0 36.0 47.4596136758933,221 N guswouca
TRUE,craiya,muchaecia,blob skos,Rose Neutral Council,Religious Religious Religious ,Neutral Hard Science ,blob skos,osnyae,ogrya,120.0 17.0 57.0162663335111 -232.0 5.0 34.75772325340656,347 S rochein Lane
TRUE,craiya,muchaecia,blob skos,Gale Radical Right Think Tank,Independent ,Radical Right Social Science ,blob skos,Westerwynne,eshington,66.0 20.0 16.673910524378208 -238.0 6.0 47.446948537271,231 E iethana
TRUE,edriawana,spoy strela,blaonia,Ebzen Radical Right Research Institute,Independent ,Radical Right Social Science ,blaonia,snoera,eshington,283.0 8.0 33.393531235286844 -152.0 16.0 49.69163909172207,173 N vedrijan Street
TRUE,edriawana,zaspoassau,iofliuland,Terry Neutral Watch,Religious ,Neutral Hard Science ,iofliuland,treiria,ogrya,176.0 4.0 29.059890904512315 -21.0 4.0 3.1993634369946844,357 E pacren Lane
TRUE,craiya,iupreosal,glaynia,Borris Nationalist Research Institute,Government Government Religious ,Nationalist Hard Science ,glaynia,uthiulor,North qotria,63.0 9.0 4.537722527791379 -79.0 14.0 48.17246014279646,167 N vedrijan Road
TRUE,edriawana,priestein,fleis flye,Darol Conservative Council,Corporate ,Conservative Foreign Policy ,fleis flye,priestein,osmurg,121.0 23.0 44.277942244464725 -319.0 18.0 22.596573313464685,310echya Road
TRUE,edriawana,boclain,oskait,Darol Radical Right Watch,Independent ,Radical Right Social Science ,oskait,atren,bleuv smana,349.0 58.0 49.271037489554224 -152.0 2.0 39.32973573394637,138 N pacren Lane
TRUE,craiya,muchaecia,blob skos,Jameson Foreign Policy Institute,Independent ,Radical Left Foreign Policy ,blob skos,swaeq sneau,East priestein,269.0 33.0 36.16757379159951 -178.0 3.0 38.343209192484856,313 N muchaecia Lane
TRUE,edriawana,zaspoassau,stoydan,Gene Neutral Institute,Government Corporate ,Neutral Social Science ,stoydan,odriasia,xapra,16.0 22.0 54.831335220031036 -7.0 43.0 1.2405675092105082,120zaspoassau
TRUE,edriawana,zaspoassau,atren,Mera Foreign Policy Research Institute,Religious ,Nationalist Foreign Policy ,atren,echya,swaeq sneau,119.0 50.0 48.38781521669013 -317.0 0.0 28.849687866149083,142 E xapra Road
TRUE,edriawana,gescialand,uthiulor,Jason Social Science Watch,Religious ,Radical Right Social Science ,uthiulor,oskait,athon,190.0 2.0 31.81573907396601 -289.0 51.0 49.5587972596512,62 S greom clax
TRUE,craiya,East xusheurhiel,glaynia,Hannah Radical Right Research Institute,Religious ,Radical Right Hard Science ,glaynia,snoera,osken,259.0 36.0 46.31628503373103 -213.0 42.0 16.440540055646633,279 S zaspoassau
TRUE,edriawana,claog fleau,odriasia,Woolley Radical Left Research Institute,Independent ,Radical Left Foreign Policy ,odriasia,spoy strela,atron,183.0 27.0 9.322632310755894 -317.0 12.0 13.063161394439122,240 N craorhiel
TRUE,edriawana,spoy strela,rochein,Dorris Neutral Institute,Religious Religious ,Neutral Social Science ,rochein,sceuw chax,apreyles,21.0 39.0 49.283000940937725 -135.0 21.0 22.925715928470385,3 N Westerwynne Lane
TRUE,edriawana,boclain,atron,Lee Neutral Institute,Religious Religious ,Neutral Hard Science ,atron,iofliuland,apreyles,48.0 0.0 24.356975892208947 -126.0 39.0 42.87806246991958,96 N athon
TRUE,edriawana,xusheurhiel,iofliuland,Elizabeth Conservative Research Institute,Government Corporate Corporate ,Conservative Hard Science ,iofliuland,oskait,glaynia,204.0 31.0 8.765554365916177 -308.0 54.0 47.55308898110936,123ostryae Lane
TRUE,edriawana,zaspoassau,othurg,Betsy Hard Science Council,Religious Corporate Religious ,Nationalist Hard Science ,othurg,steitho,West spoy strela,278.0 37.0 54.62040667823499 -297.0 54.0 18.180095542378112,84 E atren Street
TRUE,edriawana,boclain,atron,Carol Foreign Policy Research Institute,Independent ,Neutral Foreign Policy ,atron,spoy strela,West stiuca,34.0 1.0 9.815203029965716 -263.0 1.0 29.933424803261882,12 S sceuw chax
TRUE,edriawana,iofliuland,craiya,Rock Social Science Institute,Government Religious ,Neutral Social Science ,craiya,gopruyvania,iofliuland,55.0 28.0 45.983578829734526 -9.0 24.0 26.334890906021368,69 S craiya Road
TRUE,edriawana,zaspoassau,othurg,Ebzen Foreign Policy Think Tank,Religious Corporate ,Radical Left Foreign Policy ,othurg,glaynia,ostryae,120.0 16.0 26.62927265027516 -237.0 19.0 58.51613085792919,245 E astrurg Road
TRUE,craiya,priestein,West stroum chus,Elizabeth Nationalist Think Tank,Religious ,Nationalist Foreign Policy ,West stroum chus,xusheurhiel,echya,54.0 55.0 48.76514425311097 -323.0 48.0 43.894584817068754,67 E gopruyvania Street
TRUE,craiya,spoy strela,East koflurg,Darol Social Science Research Institute,Independent ,Conservative Social Science ,East koflurg,Griffinton,qotria,7.0 45.0 8.734914539504118 -221.0 39.0 15.4208383982339,7 N echya Lane
TRUE,edriawana,spoy strela,blaonia,Ebzen Hard Science Council,Religious Government ,Neutral Hard Science ,blaonia,craiya,craiya,5.0 13.0 52.21886282178521 -340.0 52.0 5.029925017716591,327 N sceuw chax Street
TRUE,edriawana,zaspoassau,othurg,Anna Social Science Institute,Independent ,Conservative Social Science ,othurg,jotra,ostryae,25.0 0.0 41.13161945919184 -277.0 59.0 28.12899633665808,183 S sceuw chax Lane
TRUE,craiya,spoy strela,atron,Sophie Nationalist Institute,Religious Corporate Religious ,Nationalist Foreign Policy ,atron,astrurg,sceuw chax,155.0 52.0 6.049029831246499 -51.0 58.0 25.89282448984266,79priestein Lane
TRUE,edriawana,xusheurhiel,swoe stror,Hannah Radical Right Watch,Government ,Radical Right Hard Science ,swoe stror,East swaeq sneau,rochein,271.0 27.0 29.3615753156809 -222.0 4.0 21.217768000420794,313 S osmurg Road
TRUE,craiya,East xusheurhiel,vedrijan,Carol Conservative Think Tank,Religious ,Conservative Foreign Policy ,vedrijan,North koflurg,swoe stror,76.0 24.0 50.86730305321487 -2.0 17.0 31.168772857018467,198 N muchaecia Road
TRUE,edriawana,spoy strela,fleis flye,Borris Hard Science Institute,Government Corporate Government ,Nationalist Hard Science ,fleis flye,swaeq sneau,vedrijan,297.0 1.0 30.45332022349126 -119.0 42.0 22.124640695826027,42 S Highkeep Lane
TRUE,edriawana,priestein,athon,Sophie Radical Left Think Tank,Religious Religious Government ,Radical Left Hard Science ,athon,gescialand,blaonia,242.0 18.0 26.437511478698173 -24.0 4.0 20.465384243280738,131 N stoydan Street
TRUE,craiya,East xusheurhiel,fleisau,Jason Social Science Watch,Religious Corporate ,Conservative Social Science ,fleisau,South steitho,vedrijan,281.0 41.0 4.794775506042088 -328.0 55.0 28.937264919874735,163 S South stoydan
TRUE,craiya,East xusheurhiel,echya,Gene Conservative Council,Corporate ,Conservative Hard Science ,echya,stoydan,Griffinton,65.0 14.0 14.450977891988627 -166.0 45.0 39.85398381233381,357 S gopruyvania Street
TRUE,edriawana,gescialand,uthiulor,Gale Foreign Policy Watch,Independent ,Neutral Foreign Policy ,uthiulor,bleuv smana,claog fleau,130.0 46.0 20.90300378505113 -13.0 8.0 44.40640862672796,163 S East swoe stror Lane
TRUE,craiya,muchaecia,blob skos,Jason Radical Left Watch,Corporate ,Radical Left Hard Science ,blob skos,pruil shium,atren,128.0 23.0 52.070232515024806 -332.0 29.0 17.33198058670966,250 E othurg Road
TRUE,edriawana,iofliuland,stoydan,Darol Hard Science Watch,Independent ,Conservative Hard Science ,stoydan,gopruyvania,osken,358.0 17.0 29.28032266232717 -85.0 2.0 22.738771630358908,174 N ostryae Road
TRUE,craiya,spoy strela,fleis flye,Hannah Foreign Policy Institute,Religious Corporate Corporate ,Neutral Foreign Policy ,fleis flye,stiuca,sceuw chax,74.0 37.0 37.52487667016921 -253.0 17.0 56.68214716664929,219athon
TRUE,craiya,spoy strela,eshington,Rock Radical Right Think Tank,Religious ,Radical Right Social Science ,eshington,South edriawana,treiria,106.0 1.0 38.64849796082592 -84.0 10.0 2.892098654546797,230koflurg Road
TRUE,edriawana,atron,sceuw chax,Paul Foreign Policy Institute,Government ,Radical Right Foreign Policy ,sceuw chax,iofliuland,iofliuland,209.0 2.0 26.117911079865266 -78.0 54.0 51.05598987295649,97priestein Street
TRUE,craiya,muchaecia,blob skos,Hannah Nationalist Institute,Religious Government Religious ,Nationalist Social Science ,blob skos,iofliuland,claog fleau,240.0 41.0 46.8010756231046 -318.0 25.0 6.741547832034153,60uthiulor Road
TRUE,craiya,swaeq sneau,gescialand,Rock Radical Left Research Institute,Independent ,Radical Left Social Science ,gescialand,xusheurhiel,pacren,128.0 18.0 3.4555310224184073 -231.0 30.0 26.869869250333085,102 N xusheurhiel Lane
TRUE,craiya,East xusheurhiel,ewhurg,Betsy Hard Science Council,Corporate ,Radical Left Hard Science ,ewhurg,athon,apreyles,148.0 36.0 21.85405771601458 -103.0 48.0 31.353882977937946,176 N stoydan Street
TRUE,edriawana,xusheurhiel,xapra,Hannah Social Science Watch,Independent ,Conservative Social Science ,xapra,fleis flye,eshistan,348.0 42.0 39.79741756354445 -30.0 29.0 52.698408325174675,157 S Highkeep Road
TRUE,edriawana,friysil,craorhiel,Rose Radical Right Watch,Government Corporate ,Radical Right Foreign Policy ,craorhiel,eshington,odriasia,49.0 38.0 21.81491930420809 -178.0 48.0 42.62499936195683,300 N xusheurhiel Lane
TRUE,edriawana,atron,sceuw chax,Ebzen Hard Science Research Institute,Government Corporate Government ,Radical Left Hard Science ,sceuw chax,bleuv smana,craorhiel,180.0 11.0 45.39856179479163 -40.0 52.0 29.976694885461495,146 S ogrya Road
TRUE,edriawana,priestein,athon,Ebzen Hard Science Council,Corporate Religious Corporate ,Radical Left Hard Science ,athon,iupreosal,blob skos,278.0 59.0 49.24369186720813 -175.0 51.0 37.13042502555889,202 N osnyae
TRUE,craiya,spoy strela,ostryae,Rose Foreign Policy Council,Religious Government ,Nationalist Foreign Policy ,ostryae,iethana,sceuw chax,273.0 33.0 12.694936371532728 -265.0 26.0 8.098757648322707,46 N rochein Street
TRUE,edriawana,spoy strela,blaonia,Ebzen Nationalist Institute,Corporate Religious ,Nationalist Hard Science ,blaonia,atren,craiya,147.0 26.0 42.25789834578414 -318.0 26.0 38.721402437876,121 S snoera Street
TRUE,craiya,East xusheurhiel,zaspoassau,Lee Radical Left Research Institute,Religious Religious ,Radical Left Social Science ,zaspoassau,stroum chus,claog fleau,175.0 41.0 3.3457462884746443 -2.0 20.0 9.363991229309214,318odriasia Street
TRUE,craiya,swaeq sneau,Westerwynne,Rock Nationalist Watch,Independent ,Nationalist Hard Science ,Westerwynne,zaspoassau,fleis flye,199.0 46.0 54.24122680881146 -142.0 31.0 58.53652794656666,107 S friysil Street
TRUE,edriawana,spoy strela,blaonia,Borris Social Science Council,Religious Religious ,Radical Right Social Science ,blaonia,East Highkeep,osnyae,190.0 22.0 22.79463454766575 -333.0 5.0 24.892090304605503,190 N muchaecia Lane
TRUE,edriawana,priestein,koflurg,Elizabeth Foreign Policy Institute,Corporate Corporate ,Neutral Foreign Policy ,koflurg,ewhurg,apreyles,120.0 48.0 45.76672477867061 -172.0 44.0 10.84367170906076,26 E fleisau Lane
TRUE,edriawana,gescialand,fleis flye,Rose Neutral Watch,Religious Religious Government ,Neutral Hard Science ,fleis flye,spoy strela,craorhiel,262.0 5.0 23.879148808268106 -219.0 38.0 15.673581994996512,276 N Westerwynne Road
TRUE,craiya,muchaecia,blob skos,Mera Social Science Think Tank,Corporate Corporate ,Radical Left Social Science ,blob skos,iofliuland,East swaeq sneau,20.0 20.0 2.8790072197625816 -236.0 36.0 49.62744522651643,287 N ogrya Road
TRUE,craiya,spoy strela,gescialand,Ebzen Neutral Council,Independent ,Neutral Hard Science ,gescialand,glaynia,bleuv smana,271.0 55.0 46.025351696510775 -85.0 35.0 42.99783212377263,124 S xusheurhiel
TRUE,edriawana,atron,claog fleau,James Radical Left Council,Government Government Corporate ,Radical Left Foreign Policy ,claog fleau,stiuca,treiria,140.0 26.0 30.964399870283103 -7.0 30.0 57.565946790922744,262 E friysil Road
TRUE,edriawana,priestein,koflurg,Darol Social Science Institute,Corporate ,Conservative Social Science ,koflurg,blob skos,ogrya,170.0 5.0 47.335517060021594 -253.0 3.0 24.714356047979546,248 S othurg Road
TRUE,edriawana,boclain,atron,Rock Foreign Policy Watch,Government Government Religious ,Conservative Foreign Policy ,atron,muchaecia,Westerwynne,251.0 55.0 28.236638049273246 -115.0 45.0 8.968431295193124,295 S boclain
TRUE,edriawana,priestein,koflurg,Jason Foreign Policy Think Tank,Corporate ,Nationalist Foreign Policy ,koflurg,othurg,gopruyvania,249.0 26.0 48.84970852921622 -76.0 25.0 58.59289406320011,175friysil Street
TRUE,craiya,spoy strela,snoera,Jameson Radical Left Research Institute,Religious ,Radical Left Foreign Policy ,snoera,craiya,osken,136.0 44.0 37.92646751516662 -320.0 20.0 2.4214719129817346,118 S friysil
TRUE,craiya,priestein,West stroum chus,Borris Social Science Research Institute,Corporate Corporate Corporate ,Nationalist Social Science ,West stroum chus,staoz flurg,snoera,253.0 7.0 51.3147335604006 -61.0 27.0 32.81452536288804,87oskait Street
TRUE,craiya,pacren,gopruyvania,Jason Conservative Think Tank,Corporate ,Conservative Social Science ,gopruyvania,iofliuland,iethana,61.0 46.0 3.6998827709967954 -195.0 43.0 33.8308837430476,116 S swoe stror Street
TRUE,edriawana,gescialand,fleis flye,Woolley Hard Science Institute,Religious Government Religious ,Radical Right Hard Science ,fleis flye,edriawana,uthiulor,210.0 55.0 9.972201459458306 -44.0 19.0 58.502922721669734,56 E eshistan
TRUE,edriawana,zaspoassau,sceuw chax,Gene Conservative Institute,Government ,Conservative Foreign Policy ,sceuw chax,astrurg,steitho,185.0 32.0 18.639715587991663 -321.0 0.0 28.071294662111356,57blob skos Road
TRUE,craiya,iupreosal,swaeq sneau,Mera Foreign Policy Institute,Corporate ,Conservative Foreign Policy ,swaeq sneau,North treiria,uthiulor,105.0 31.0 54.894691923254356 -159.0 24.0 15.174386689132396,316 N Griffinton Lane
TRUE,edriawana,priestein,koflurg,Hannah Foreign Policy Watch,Corporate Government ,Nationalist Foreign Policy ,koflurg,blob skos,xapra,21.0 32.0 14.457834451786828 -237.0 39.0 44.46998347971241,247West fleisau Street
